thingName,thingArn,certArn,certId
iotCar-0001,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0001,arn:aws:iot:us-east-2:274028060855:cert/ec7bcfcbb6becb52f36fb6b3450a895aaf4c2ff172838e55ab35b8474a5aa114,ec7bcfcbb6becb52f36fb6b3450a895aaf4c2ff172838e55ab35b8474a5aa114
iotCar-0002,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0002,arn:aws:iot:us-east-2:274028060855:cert/cd412c12517752ceb7014910480160f8593386b6c7b03fa1306b212682278b40,cd412c12517752ceb7014910480160f8593386b6c7b03fa1306b212682278b40
iotCar-0003,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0003,arn:aws:iot:us-east-2:274028060855:cert/87023be8192e1c77bd6c34b824e46b269e584753f3c5d512725fa52ffe6311b3,87023be8192e1c77bd6c34b824e46b269e584753f3c5d512725fa52ffe6311b3
iotCar-0004,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0004,arn:aws:iot:us-east-2:274028060855:cert/8995c820a1fd443868a259bbba85176c208b0cd1dd39565ea499a814ef50b0d4,8995c820a1fd443868a259bbba85176c208b0cd1dd39565ea499a814ef50b0d4
iotCar-0005,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0005,arn:aws:iot:us-east-2:274028060855:cert/faa24509ac64a6e83a9ba3f73f1cae35e7d01046b223f6693e9eb7fbbcda8b43,faa24509ac64a6e83a9ba3f73f1cae35e7d01046b223f6693e9eb7fbbcda8b43
iotCar-0006,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0006,arn:aws:iot:us-east-2:274028060855:cert/8365696e650e9f27b3f34d72415925dd4b2a467ffa15c856a7aeea42185faf43,8365696e650e9f27b3f34d72415925dd4b2a467ffa15c856a7aeea42185faf43
iotCar-0007,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0007,arn:aws:iot:us-east-2:274028060855:cert/5b5eda85b3fc34247752244ea43babdbf2b6d9c5d8484f2c84b9138979eba3b9,5b5eda85b3fc34247752244ea43babdbf2b6d9c5d8484f2c84b9138979eba3b9
iotCar-0008,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0008,arn:aws:iot:us-east-2:274028060855:cert/dccda02cfdd335eb4218728652b92736897a568d16772d48dfc98884e34bf862,dccda02cfdd335eb4218728652b92736897a568d16772d48dfc98884e34bf862
iotCar-0009,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0009,arn:aws:iot:us-east-2:274028060855:cert/ae90760eae52333b770e787a1644bd44c05f736d0dd433adfb76ec738ca5c372,ae90760eae52333b770e787a1644bd44c05f736d0dd433adfb76ec738ca5c372
iotCar-0010,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0010,arn:aws:iot:us-east-2:274028060855:cert/587f0e009cf5714eefffa756e7348ab00cc501455f26491e4741dcc1ca965d15,587f0e009cf5714eefffa756e7348ab00cc501455f26491e4741dcc1ca965d15
iotCar-0011,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0011,arn:aws:iot:us-east-2:274028060855:cert/533b50e4df6486bf12ad60bc08eeea2703627e3f52744b7ab3da864d938fdb99,533b50e4df6486bf12ad60bc08eeea2703627e3f52744b7ab3da864d938fdb99
iotCar-0012,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0012,arn:aws:iot:us-east-2:274028060855:cert/863ede88dc52a1e34e18adc5b4081f66d6a250e38fd7e5ec135df8b1404e6844,863ede88dc52a1e34e18adc5b4081f66d6a250e38fd7e5ec135df8b1404e6844
iotCar-0013,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0013,arn:aws:iot:us-east-2:274028060855:cert/d4ec2bceacf792b56d3ed4742ee637ff7935cd2af05a74ef100a46f59e2ba08d,d4ec2bceacf792b56d3ed4742ee637ff7935cd2af05a74ef100a46f59e2ba08d
iotCar-0014,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0014,arn:aws:iot:us-east-2:274028060855:cert/d2faacbde66f54010b740eabe6a88a6d9b11162dca63ced9591ce477d0db46b2,d2faacbde66f54010b740eabe6a88a6d9b11162dca63ced9591ce477d0db46b2
iotCar-0015,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0015,arn:aws:iot:us-east-2:274028060855:cert/c4e3ac9bbcbdc53d898adf5441382697bf120952438e6f7e2107cefaaba70138,c4e3ac9bbcbdc53d898adf5441382697bf120952438e6f7e2107cefaaba70138
iotCar-0016,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0016,arn:aws:iot:us-east-2:274028060855:cert/b58e294c022308992af0a0c3a4d6686acc75f4bd35b4413a62d7672653267f23,b58e294c022308992af0a0c3a4d6686acc75f4bd35b4413a62d7672653267f23
iotCar-0017,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0017,arn:aws:iot:us-east-2:274028060855:cert/6b6e52a62b3c0eeeddcfd8642edfec5812afc05120d73d20d30010767bbc055c,6b6e52a62b3c0eeeddcfd8642edfec5812afc05120d73d20d30010767bbc055c
iotCar-0018,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0018,arn:aws:iot:us-east-2:274028060855:cert/8370924e58574c2c680f525d86fb68ba9e6e22dbed73b705067ff6b6029dde5a,8370924e58574c2c680f525d86fb68ba9e6e22dbed73b705067ff6b6029dde5a
iotCar-0019,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0019,arn:aws:iot:us-east-2:274028060855:cert/2dc27e08d398b3b9fc93b7dc5c9464c88cd467e5f594172a6c58fe2383cb1cad,2dc27e08d398b3b9fc93b7dc5c9464c88cd467e5f594172a6c58fe2383cb1cad
iotCar-0020,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0020,arn:aws:iot:us-east-2:274028060855:cert/2a197ed81d38853521afbe3f5e0785a95a559e86486ef8e2dde6255750bbe402,2a197ed81d38853521afbe3f5e0785a95a559e86486ef8e2dde6255750bbe402
iotCar-0021,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0021,arn:aws:iot:us-east-2:274028060855:cert/b01d5d0ae73ad2dddbdeaba58d9d6f265d5b897e7f0dfcdbac92b1283364544b,b01d5d0ae73ad2dddbdeaba58d9d6f265d5b897e7f0dfcdbac92b1283364544b
iotCar-0022,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0022,arn:aws:iot:us-east-2:274028060855:cert/86a4ca0bc6799e9ad12ae0e84a286ce7c6621ec82575ceb98b6fdbdcc154d13f,86a4ca0bc6799e9ad12ae0e84a286ce7c6621ec82575ceb98b6fdbdcc154d13f
iotCar-0023,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0023,arn:aws:iot:us-east-2:274028060855:cert/7e40ab649fbacd91af85ce8cfa3913b51b81ecbb193e8d40a72a318e8a132b4b,7e40ab649fbacd91af85ce8cfa3913b51b81ecbb193e8d40a72a318e8a132b4b
iotCar-0024,arn:aws:iot:us-east-2:274028060855:thing/iotCar-0024,arn:aws:iot:us-east-2:274028060855:cert/8db5ee93a0d3c8d5cba1a26ce800611d4bed920c1324cde21322dbbc26327d57,8db5ee93a0d3c8d5cba1a26ce800611d4bed920c1324cde21322dbbc26327d57
